customer_id,signup_date,state,acquisition_channel
1,2024-09-13,CO,organic_search
2,2025-10-21,IL,paid_search
3,2025-01-17,AZ,referral
4,2024-06-23,FL,paid_social
5,2025-04-08,IL,paid_social
6,2025-10-23,OH,paid_social
7,2024-07-23,IL,paid_social
8,2025-03-07,TX,paid_search
9,2024-05-19,WA,paid_search
10,2025-08-14,TX,organic_search
11,2024-11-23,SC,paid_search
12,2025-04-16,CO,organic_search
13,2025-07-24,TX,referral
14,2025-05-06,SC,paid_search
15,2025-07-29,CA,paid_search
16,2024-06-23,NY,paid_search
17,2025-03-08,UT,organic_search
18,2023-09-19,LA,referral
19,2024-03-29,PA,organic_search
20,2024-07-13,GA,organic_search
21,2025-05-03,WA,paid_search
22,2025-07-22,LA,paid_social
23,2025-06-01,MD,paid_social
24,2025-02-26,KS,paid_social
25,2025-10-17,FL,organic_search
26,2025-07-14,OK,organic_search
27,2025-12-02,FL,paid_search
28,2024-08-12,UT,paid_search
29,2024-08-29,TX,referral
30,2025-03-13,CA,referral
31,2025-10-27,OK,paid_search
32,2025-09-19,TX,paid_search
33,2024-04-06,PA,organic_search
34,2024-12-26,NY,paid_social
35,2025-12-19,MO,affiliate
36,2024-02-23,GA,organic_search
37,2025-03-26,CA,organic_search
38,2024-02-03,CO,referral
39,2024-08-27,CA,organic_search
40,2025-10-05,KS,paid_search
41,2025-03-03,IA,paid_search
42,2025-06-14,UT,paid_social
43,2025-06-21,NY,organic_search
44,2025-05-08,CA,organic_search
45,2025-11-08,MO,organic_search
46,2025-05-23,PA,paid_search
47,2025-04-21,NJ,affiliate
48,2024-02-02,PA,referral
49,2025-10-20,MI,paid_search
50,2024-10-18,IL,paid_search
51,2024-12-18,OH,organic_search
52,2025-07-22,IL,organic_search
53,2025-04-18,VA,organic_search
54,2024-10-26,WA,referral
55,2025-04-08,NY,email
56,2025-05-24,NY,affiliate
57,2024-02-05,NJ,paid_social
58,2025-06-12,IN,affiliate
59,2024-12-03,MI,affiliate
60,2025-06-16,CT,paid_social
61,2025-11-30,IN,affiliate
62,2023-09-20,NY,paid_social
63,2024-10-02,GA,organic_search
64,2025-10-08,FL,organic_search
65,2025-07-17,CA,referral
66,2024-01-30,CA,paid_search
67,2024-11-29,PA,organic_search
68,2024-06-01,WA,paid_social
69,2025-01-30,FL,organic_search
70,2025-01-01,MN,paid_search
71,2024-11-04,OR,organic_search
72,2024-05-05,OH,organic_search
73,2024-11-09,TX,paid_social
74,2025-06-04,NY,paid_search
75,2025-10-01,NY,referral
76,2025-12-17,VA,paid_search
77,2024-10-01,PA,organic_search
78,2024-06-15,GA,paid_search
79,2024-06-09,OR,organic_search
80,2024-12-19,AZ,paid_social
81,2025-02-15,TX,paid_search
82,2025-01-22,OH,referral
83,2025-03-12,IA,paid_social
84,2024-07-16,CA,referral
85,2024-07-28,OK,email
86,2025-09-15,NM,paid_social
87,2025-11-02,IA,paid_social
88,2025-08-08,VA,organic_search
89,2023-10-16,GA,email
90,2024-04-09,PA,paid_search
91,2025-06-06,FL,paid_search
92,2023-10-07,CA,organic_search
93,2025-03-31,WA,paid_social
94,2025-03-03,NY,email
95,2023-10-31,TX,organic_search
96,2024-05-15,NY,paid_social
97,2025-04-29,CA,paid_search
98,2024-09-07,MD,organic_search
