order_id,product_id,quantity,unit_price,discount_amount
100001,1031,1,38.99,0
100002,1087,1,45.99,0
100002,1072,1,141.99,0
100003,1048,1,139.99,0
100004,1083,1,19.99,2
100004,1023,1,135.99,13.6
100004,1051,1,53.99,5.4
100005,1013,1,124.99,0
100006,1002,1,138.99,0
100006,1077,1,25.99,0
100007,1003,1,22.99,0
100007,1039,1,483.99,0
100007,1074,1,19.99,0
100008,1050,1,146.99,0
100008,1031,1,38.99,0
100009,1048,1,139.99,0
100010,1075,1,50.99,0
100010,1008,1,43.99,0
100010,1028,1,77.99,0
100011,1008,2,43.99,0
100011,1007,4,71.99,0
100012,1024,1,59.99,0
100013,1076,1,138.99,0
100014,1014,1,36.99,0
100015,1085,1,115.99,0
100015,1057,4,205.99,0
100016,1005,1,79.99,0
100017,1017,1,86.99,0
100018,1007,1,71.99,0
100019,1034,1,68.99,0
100019,1024,1,59.99,0
100020,1082,4,104.99,0
100020,1006,1,16.99,0
100020,1034,1,68.99,0
100021,1046,1,142.99,0
100021,1033,1,85.99,0
100022,1017,1,86.99,0
100023,1009,1,131.99,0
100024,1057,1,205.99,0
100024,1087,4,45.99,0
100025,1025,1,166.99,0
100026,1001,2,61.99,0
100027,1018,1,212.99,0
100028,1014,1,36.99,0
100028,1055,1,200.99,0
100029,1034,1,68.99,0
100029,1082,1,104.99,0
100029,1090,1,17.99,0
100029,1027,1,90.99,0
100030,1011,2,34.99,0
100031,1071,1,9.99,0
100032,1031,1,38.99,0
100032,1067,1,34.99,0
100032,1086,4,97.99,0
100033,1088,2,20.99,0
100033,1086,1,,0
100034,1072,1,141.99,0
100035,1007,2,71.99,0
100035,1064,1,153.99,0
100035,1072,1,141.99,0
100035,1086,1,97.99,0
100036,1072,2,141.99,0
100037,1032,2,81.99,0
100037,1004,1,75.99,0
100038,1046,1,142.99,0
100038,1075,1,50.99,0
100038,1011,1,34.99,0
100039,1009,1,131.99,0
100039,1054,2,229.99,0
100040,1036,1,58.99,0
100040,1075,1,50.99,0
100041,1083,1,19.99,0
100041,1021,1,123.99,0
100041,1085,2,115.99,0
100041,1072,1,141.99,0
100042,1058,1,93.99,9.4
100042,1088,1,20.99,2.1
100042,1074,2,19.99,4
100042,1010,1,96.99,9.7
100043,1026,1,161.99,0
100044,1049,1,126.99,0
100045,1034,1,68.99,0
100045,1007,1,71.99,0
100046,1070,1,122.99,0
100046,1079,2,61.99,0
100046,1074,1,19.99,0
100046,1025,1,166.99,0
100047,1037,1,28.99,0
100047,1076,1,138.99,0
100047,1075,1,50.99,0
100048,1001,1,61.99,0
100049,1027,1,90.99,0
100049,1075,1,50.99,0
100050,1053,2,37.99,0
100051,1025,1,166.99,0
100052,1055,1,200.99,0
100053,1049,1,126.99,0
100054,1085,1,115.99,0
100054,1030,1,7.99,0
100054,1087,1,45.99,0
100055,1038,1,313.99,0
100055,1080,1,134.99,0
100056,1079,1,61.99,6.2
100057,1076,4,138.99,0
100058,1011,2,34.99,0
100058,1080,1,134.99,0
100058,1016,1,180.99,0
100059,1014,1,36.99,0
100060,1089,1,53.99,0
100061,1030,1,7.99,0
100062,1020,1,,0
100063,1054,1,229.99,0
100063,1053,1,37.99,0
100064,1050,1,146.99,14.7
100065,1044,1,529.99,0
100065,1073,1,69.99,0
100066,1085,1,115.99,0
100066,1089,1,53.99,0
100066,1035,2,51.99,0
100067,1042,1,773.99,0
100068,1030,1,7.99,0
100069,1078,1,85.99,0
100070,1009,1,131.99,0
100071,1016,1,180.99,18.1
100072,1033,1,85.99,0
100073,1074,2,19.99,0
100073,1003,1,22.99,0
100074,1034,1,68.99,0
100074,1055,1,200.99,0
100075,1051,1,53.99,0
100075,1074,1,19.99,0
100075,1008,1,43.99,0
100076,1081,2,74.99,0
100077,1074,1,19.99,0
100078,1047,1,194.99,0
100078,1023,1,135.99,0
100078,1014,1,36.99,0
100079,1027,1,90.99,0
100080,1090,1,17.99,0
100081,1088,1,20.99,0
100082,1002,1,138.99,0
100083,1001,4,61.99,0
100083,1018,1,212.99,0
100084,1023,2,135.99,0
100084,1013,3,124.99,0
100085,1055,1,200.99,0
100085,1008,1,43.99,0
100085,1009,1,131.99,0
100086,1036,2,58.99,0
100087,1028,1,77.99,0
100088,1027,1,90.99,0
100088,1018,4,212.99,0
100088,1048,1,139.99,0
100088,1025,1,166.99,0
100089,1010,1,96.99,0
100089,1003,1,22.99,0
100090,1019,1,77.99,0
100091,1087,1,45.99,0
100092,1072,1,141.99,0
100092,1034,1,68.99,0
100092,1082,1,104.99,0
100092,1077,1,25.99,0
100093,1076,1,138.99,0
100093,1017,1,86.99,0
100093,1020,3,54.99,0
100094,1056,1,239.99,0
100094,1085,1,115.99,0
100095,1058,2,93.99,0
100096,1024,1,59.99,0
100097,1079,1,61.99,0
100098,1042,1,773.99,0
100099,1075,1,50.99,0
100099,1009,1,131.99,0
100100,1039,1,483.99,0
100101,1005,2,79.99,0
100102,1018,3,212.99,0
100103,1024,1,59.99,0
100104,1040,1,476.99,0
100105,1060,1,134.99,0
100106,1072,1,141.99,0
100106,1057,1,205.99,0
100107,1072,4,141.99,0
100107,1039,1,483.99,0
100108,1030,1,7.99,0
100108,1005,1,79.99,0
100109,1028,1,77.99,0
100109,1058,1,93.99,0
100109,1034,2,68.99,0
100110,1085,1,115.99,0
100110,1057,1,205.99,0
100111,1052,1,208.99,0
100112,1026,2,161.99,0
100113,1001,2,61.99,0
100113,1035,1,51.99,0
100114,1003,4,22.99,0
100115,1087,1,45.99,0
100116,1014,1,36.99,0
100116,1087,2,,0
100117,1024,1,59.99,0
100118,1037,1,28.99,0
100119,1044,1,529.99,0
100120,1059,1,467.99,0
100120,1026,1,161.99,0
100120,1054,1,229.99,0
100120,1052,1,208.99,0
100121,1001,1,61.99,0
100121,1012,1,109.99,0
100122,1002,1,138.99,0
100122,1088,1,20.99,0
100122,1075,1,50.99,0
100122,1026,1,161.99,0
100123,1002,1,138.99,0
100123,1048,1,139.99,0
100123,1069,1,26.99,0
100124,1022,3,88.99,0
100124,1015,1,96.99,0
100125,1032,1,81.99,0
100126,1074,1,19.99,0
100127,1079,2,61.99,0
