order_id,customer_id,order_date,status,payment_method,discount_code,shipping_fee
100001,1530,2024-01-01 09:24:45,completed,credit_card,,6.95
100002,3531,2024-01-01 10:37:49,completed,credit_card,,0
100003,840,2024-01-01 10:59:09,completed,credit_card,,0
100004,725,2024-01-01 12:48:34,completed,apple_pay,WELCOME10,0
100005,3452,2024-01-01 17:44:03,completed,gift_card,,0
100006,3531,2024-01-01 19:10:50,completed,credit_card,,0
100007,1891,2024-01-01 23:25:28,returned,credit_card,,0
100008,683,2024-01-02 06:08:36,completed,paypal,,0
100009,1867,2024-01-02 10:16:04,completed,credit_card,,0
100010,1579,2024-01-02 15:18:14,completed,paypal,,0
100011,572,2024-01-02 15:20:47,completed,apple_pay,,0
100012,1867,2024-01-02 15:36:34,completed,credit_card,,6.95
100013,572,2024-01-02 15:45:46,completed,apple_pay,,0
100014,2119,2024-01-02 15:58:55,completed,apple_pay,,6.95
100015,3531,2024-01-02 16:05:46,completed,credit_card,,0
100016,1979,2024-01-02 18:20:28,completed,credit_card,,0
100017,1936,2024-01-02 18:38:37,completed,paypal,,0
100018,2221,2024-01-02 18:56:18,completed,credit_card,,6.95
100019,725,2024-01-02 19:39:07,completed,apple_pay,,0
100020,1579,2024-01-02 19:52:47,completed,credit_card,,0
100021,3260,2024-01-02 21:33:19,returned,paypal,,0
100022,2577,2024-01-03 07:02:06,completed,credit_card,,0
100023,1579,2024-01-03 09:51:24,completed,credit_card,,0
100024,3250,2024-01-03 11:34:08,completed,apple_pay,,0
100025,1891,2024-01-03 14:35:26,completed,credit_card,,0
100026,307,2024-01-03 17:53:45,completed,credit_card,,0
100027,3093,2024-01-03 19:39:16,completed,gift_card,,0
100028,612,2024-01-04 06:28:07,completed,credit_card,,0
100029,550,2024-01-04 17:53:16,completed,credit_card,,0
100030,424,2024-01-05 06:45:18,completed,paypal,,6.95
100031,1709,2024-01-05 06:57:45,completed,credit_card,,6.95
100032,464,2024-01-05 09:51:41,completed,paypal,,0
100033,2221,2024-01-05 10:24:31,completed,apple_pay,,0
100034,3114,2024-01-05 10:38:55,completed,apple_pay,,0
100035,3531,2024-01-05 13:26:36,completed,apple_pay,,0
100036,3460,2024-01-05 15:18:54,completed,credit_card,,0
100037,572,2024-01-05 20:22:52,completed,apple_pay,,0
100038,226,2024-01-05 21:46:13,completed,credit_card,,0
100039,735,2024-01-06 06:55:08,completed,credit_card,,0
100040,2879,2024-01-06 07:57:14,completed,paypal,,0
100041,2412,2024-01-06 10:25:35,completed,credit_card,,0
100042,3571,2024-01-06 13:11:46,completed,paypal,WELCOME10,0
100043,1302,2024-01-06 13:35:36,completed,credit_card,,0
100044,2115,2024-01-06 14:02:48,returned,credit_card,,0
100045,656,2024-01-06 14:20:37,completed,paypal,,0
100046,3114,2024-01-06 15:17:14,completed,credit_card,,0
100047,1891,2024-01-06 16:09:46,returned,paypal,,0
100048,3320,2024-01-06 16:37:36,completed,credit_card,,6.95
100049,1375,2024-01-06 16:41:03,canceled,paypal,,0
100050,1867,2024-01-06 17:36:20,completed,apple_pay,,0
100051,3571,2024-01-06 18:52:50,completed,apple_pay,,0
100052,1876,2024-01-06 19:17:51,completed,credit_card,,0
100053,3571,2024-01-06 19:41:48,completed,paypal,,0
100054,3057,2024-01-06 20:55:56,returned,paypal,,0
100055,3571,2024-01-06 22:33:26,completed,apple_pay,,0
100056,3114,2024-01-06 22:55:11,completed,credit_card,WELCOME10,6.95
100057,3531,2024-01-06 23:01:31,completed,apple_pay,,0
100058,445,2024-01-07 09:48:48,completed,credit_card,,0
100059,3114,2024-01-07 11:32:36,completed,credit_card,,6.95
100060,540,2024-01-07 11:53:55,completed,apple_pay,,6.95
100061,2261,2024-01-07 13:05:38,completed,credit_card,,6.95
100062,1806,2024-01-07 13:33:01,completed,credit_card,,6.95
100063,1915,2024-01-07 15:29:04,completed,credit_card,,0
100064,735,2024-01-07 17:38:08,completed,credit_card,WELCOME10,0
100065,3320,2024-01-07 19:37:29,completed,credit_card,,0
100066,1915,2024-01-07 19:58:59,completed,paypal,,0
100067,738,2024-01-07 20:33:48,canceled,apple_pay,,0
100068,1951,2024-01-07 22:17:10,completed,apple_pay,,6.95
100069,2211,2024-01-07 22:29:07,completed,credit_card,,0
100070,3320,2024-01-07 22:55:09,completed,paypal,,0
100071,249,2024-01-08 06:34:53,completed,credit_card,WELCOME10,0
100072,3399,2024-01-08 11:20:25,completed,credit_card,,0
100073,1375,2024-01-08 11:28:48,completed,credit_card,,6.95
100074,3531,2024-01-08 12:41:44,completed,paypal,,0
100075,424,2024-01-08 13:01:18,completed,credit_card,,0
100076,3260,2024-01-08 15:24:53,completed,credit_card,,0
100077,738,2024-01-08 18:04:16,completed,credit_card,,6.95
100078,1806,2024-01-08 19:56:08,completed,paypal,,0
100079,3009,2024-01-09 10:03:38,completed,paypal,,0
100080,568,2024-01-09 12:25:58,completed,apple_pay,,6.95
100081,3460,2024-01-09 13:52:17,completed,credit_card,,6.95
100082,511,2024-01-09 15:33:06,canceled,apple_pay,,0
100083,1047,2024-01-09 15:41:12,returned,credit_card,,0
100084,686,2024-01-09 18:06:02,completed,credit_card,,0
100085,2115,2024-01-09 18:48:30,completed,credit_card,,0
100086,920,2024-01-09 19:16:18,completed,credit_card,,0
100087,343,2024-01-10 12:54:10,completed,paypal,,0
100088,1375,2024-01-10 13:04:55,completed,credit_card,,0
100089,3452,2024-01-10 13:12:26,returned,credit_card,,0
100090,2409,2024-01-10 17:36:56,canceled,apple_pay,,0
100091,3520,2024-01-10 18:54:16,returned,paypal,,6.95
100092,2119,2024-01-10 21:13:00,completed,credit_card,,0
100093,424,2024-01-10 22:58:42,completed,apple_pay,,0
100094,748,2024-01-11 06:29:28,completed,credit_card,,0
100095,3452,2024-01-11 06:48:12,completed,paypal,,0
100096,1891,2024-01-11 07:48:46,completed,credit_card,,6.95
100097,572,2024-01-11 12:48:42,completed,credit_card,,6.95
100098,2652,2024-01-11 15:04:07,canceled,credit_card,,0
100099,1915,2024-01-11 16:16:04,completed,gift_card,,0
100100,307,2024-01-11 16:42:46,completed,credit_card,,0
100101,735,2024-01-11 18:56:02,completed,credit_card,,0
100102,735,2024-01-11 19:12:26,completed,credit_card,,0
100103,3452,2024-01-11 19:41:54,completed,paypal,,6.95
100104,3531,2024-01-11 19:56:40,completed,paypal,,0
100105,898,2024-01-11 21:13:30,completed,paypal,,0
100106,1454,2024-01-12 07:11:58,completed,credit_card,,0
100107,1915,2024-01-12 09:58:50,completed,credit_card,,0
100108,3520,2024-01-12 10:24:07,completed,paypal,,0
100109,2412,2024-01-12 10:54:38,completed,apple_pay,,0
100110,1046,2024-01-12 13:12:52,completed,credit_card,,0
100111,18,2024-01-12 16:10:49,completed,apple_pay,,0
100112,422,2024-01-12 16:15:19,completed,apple_pay,,0
100113,249,2024-01-12 16:26:05,completed,paypal,,0
100114,3565,2024-01-12 18:19:46,completed,paypal,,0
100115,422,2024-01-12 20:43:18,completed,paypal,,6.95
100116,2652,2024-01-12 23:20:59,completed,credit_card,,0
100117,3250,2024-01-13 06:39:17,completed,credit_card,,6.95
100118,2018,2024-01-13 09:36:47,completed,credit_card,,6.95
100119,745,2024-01-13 10:27:50,completed,credit_card,,0
100120,307,2024-01-13 18:14:33,completed,paypal,,0
100121,1530,2024-01-13 18:34:54,completed,gift_card,,0
100122,1915,2024-01-13 21:36:41,completed,credit_card,,0
100123,2863,2024-01-14 06:15:13,completed,credit_card,,0
100124,2577,2024-01-14 10:12:25,completed,credit_card,,0
100125,506,2024-01-14 11:11:25,completed,paypal,,0
100126,745,2024-01-14 14:11:54,completed,credit_card,,6.95
100127,2801,2024-01-14 14:13:40,completed,credit_card,,0
100128,1179,2024-01-14 14:55:58,completed,paypal,,6.95
100129,1355,2024-01-14 18:01:28,completed,apple_pay,,0
100130,3549,2024-01-14 19:13:27,completed,credit_card,,0
107012,870,2025-08-12 10:39:49,completed,apple_pay,,0
100131,1355,2024-01-14 19:31:48,completed,credit_card,,0
100132,2577,2024-01-14 21:30:16,completed,credit_card,,0
100133,3007,2024-01-14 23:36:11,completed,credit_card,,0
100134,3520,2024-01-14 23:41:58,completed,gift_card,,0
100135,1979,2024-01-15 08:47:35,completed,credit_card,,0
100136,249,2024-01-15 09:49:30,completed,credit_card,,0
100137,3452,2024-01-15 10:27:31,completed,credit_card,,0
100138,424,2024-01-15 10:36:20,completed,credit_card,,0
100139,3260,2024-01-15 11:13:14,completed,credit_card,,6.95
